id_pivo,umidade,temperatura,ph,n,p,k,estado_bomba,capturado_em,hora,dia_semana,estado_bomba_bin,rendimento,volume_irrigacao,necessidade_fertilizacao
p1,50.15,31.57,4.56,51,78,72,OFF,2025-10-02 00:14:26,0,3,0,3.7985145309380086,15.174553567377833,14.08270476243116
p3,44.85,38.89,4.64,78,51,5,ON,2025-10-02 01:29:05,1,3,1,0.0,17.32444817044878,28.754469616749386
p3,64.0,22.16,5.83,97,94,45,OFF,2025-10-02 01:58:15,1,3,0,22.098686068484856,1.387550684247275,9.731771602400615
p2,40.59,38.12,6.77,49,43,60,OFF,2025-10-02 02:37:23,2,3,0,0.9050144700408984,24.18089454792736,22.875533761340318
p2,75.86,15.62,4.0,88,14,13,OFF,2025-10-02 03:25:58,3,3,0,1.59804624712697,0.0,48.171189261890326
p3,67.09,28.88,7.12,99,3,29,OFF,2025-10-02 05:33:27,5,3,0,14.159689727482888,1.6014700211700803,42.68346874110889
p2,59.56,30.85,4.0,86,94,34,OFF,2025-10-02 05:33:42,5,3,0,1.243758260739036,5.101432247040433,16.51307779464478
p2,77.81,17.65,7.21,46,96,67,ON,2025-10-02 05:43:55,5,3,1,7.874874623642819,0.0,9.033052464695151
p2,80.0,18.51,4.0,32,74,98,OFF,2025-10-02 06:16:48,6,3,0,6.426453803565333,0.0,19.464945696467293
p1,74.07,25.48,4.0,98,10,84,OFF,2025-10-02 07:27:06,7,3,0,0.0,0.567673926449334,26.195417300274222
p1,50.67,39.16,7.7,24,29,19,OFF,2025-10-02 07:27:31,7,3,0,0.0,17.099883421640353,64.25187731300674
p2,68.89,29.9,4.26,41,4,1,OFF,2025-10-02 07:45:06,7,3,0,0.0,0.0,73.90957900567294
p3,52.47,38.33,5.93,7,5,5,OFF,2025-10-02 09:03:04,9,3,0,2.2770182315484067,11.019084996281759,88.9988805124638
p1,51.68,35.11,4.77,80,24,60,OFF,2025-10-02 09:39:14,9,3,0,3.610112795807054,10.969598144754743,19.244114857341966
p3,63.01,26.68,4.0,65,57,15,OFF,2025-10-02 10:39:34,10,3,0,0.0,5.185127429942153,30.91390827496451
p3,49.05,34.62,7.34,8,6,23,OFF,2025-10-02 11:25:51,11,3,0,0.0,14.259490441718073,87.38866579143313
p1,75.02,15.45,7.28,22,99,85,OFF,2025-10-02 11:41:52,11,3,0,0.3073388005960993,0.0,20.74071429540052
p2,74.94,17.73,7.09,56,45,88,OFF,2025-10-02 12:07:01,12,3,0,14.413963699189836,0.0,16.209183948096577
p1,59.14,35.74,4.53,54,26,84,OFF,2025-10-02 12:08:55,12,3,0,2.2961676772597364,5.6323656823953625,23.056184394981333
p3,64.7,34.92,5.16,81,52,25,OFF,2025-10-02 12:21:28,12,3,0,3.4012352133857293,2.1252740300783444,25.68801267698865
p3,66.11,20.82,4.35,26,79,62,OFF,2025-10-02 13:37:18,13,3,0,0.0,3.81036540860484,20.342261094914406
p2,66.04,28.27,4.0,93,31,61,OFF,2025-10-02 15:00:03,15,3,0,0.704900059856882,3.328606381461382,13.239213240189871
p1,56.62,30.15,4.08,44,4,18,OFF,2025-10-02 15:59:49,15,3,0,0.3548618154214051,6.947093273311593,63.49534531754486
p3,56.34,36.69,7.27,83,5,55,OFF,2025-10-02 16:03:36,16,3,0,5.5981912631193556,10.402861154592525,31.350350552261638
p2,61.25,30.08,7.58,24,86,53,ON,2025-10-02 19:32:03,19,3,1,9.583712531791242,3.264715841000435,28.864329632681383
p3,58.47,25.31,7.68,3,11,40,ON,2025-10-02 20:40:33,20,3,1,3.9480834859070737,3.35594854173067,73.0300515492466
p3,73.42,24.35,6.03,5,64,75,ON,2025-10-02 21:43:28,21,3,1,26.0113185556311,2.1817663764969444,34.19322367724112
p3,64.2,25.65,5.54,37,38,68,OFF,2025-10-02 22:28:59,22,3,0,15.167294131968248,3.227639269965324,24.95769535373089
p3,57.77,31.3,4.74,96,78,53,OFF,2025-10-02 22:58:14,22,3,0,1.3832481020601095,9.048078376571848,5.867568977246357
p1,48.63,36.69,6.38,4,6,73,ON,2025-10-03 01:00:07,1,4,1,5.22133723867951,14.894702126170639,62.99901874585302
p2,63.11,26.35,5.03,37,90,77,OFF,2025-10-03 01:52:17,1,4,0,0.0,2.214336398997021,20.853625422675677
p2,74.7,21.2,4.04,11,70,57,OFF,2025-10-03 02:05:36,2,4,0,0.0,1.3046483304871848,30.508362608928614
p2,71.95,20.92,4.0,94,45,27,OFF,2025-10-03 02:16:19,2,4,0,0.0,0.725244056022161,20.456333712683858
p1,59.26,33.65,7.43,68,20,76,ON,2025-10-03 02:39:58,2,4,1,5.615793578808345,6.049043793054436,22.00318514984551
p2,57.31,35.41,4.65,77,98,72,OFF,2025-10-03 02:51:06,2,4,0,0.0,6.034892269822751,3.8878580648527947
p1,80.0,17.63,7.27,72,30,99,OFF,2025-10-03 03:44:11,3,4,0,8.616915791885727,0.1708127912130184,16.27230009405868
p3,76.29,16.66,4.0,66,49,15,OFF,2025-10-03 04:20:32,4,4,0,0.0,1.61851445885417,30.979937970902483
p3,54.78,29.86,5.32,78,39,42,OFF,2025-10-03 05:07:31,5,4,0,8.877452485378122,7.858617566448764,17.915274736501384
p3,80.0,18.65,4.67,0,23,93,OFF,2025-10-03 05:14:50,5,4,0,0.0,0.9581390725139656,61.58908887372667
p3,53.6,35.62,4.0,87,42,51,OFF,2025-10-03 05:48:21,5,4,0,0.0,11.960312542700539,11.121718531135134
p2,76.26,22.76,4.0,74,15,95,OFF,2025-10-03 06:52:27,6,4,0,0.49173905718108696,1.5392223948485007,21.50802775343107
p3,77.6,18.6,4.0,74,0,1,OFF,2025-10-03 07:31:06,7,4,0,1.7601602241397318,1.3079632495785107,64.34168153562048
p2,51.72,38.02,7.87,39,29,3,OFF,2025-10-03 08:11:53,8,4,0,2.3670281486481755,12.285302137111973,57.06351687770805
p1,76.78,19.14,4.12,80,11,80,OFF,2025-10-03 08:23:55,8,4,0,2.3864073720182493,0.0,29.613245680354545
p3,80.0,22.12,6.2,38,41,36,OFF,2025-10-03 08:45:58,8,4,0,12.548039591330063,0.0,41.34626355317838
p2,80.0,18.84,5.76,4,87,52,OFF,2025-10-03 09:24:02,9,4,0,3.109588749556698,1.333690976290511,41.64506163648596
p1,76.88,17.89,4.44,91,16,43,OFF,2025-10-03 09:51:21,9,4,0,2.610497844156312,0.0,33.779614193743704
p2,80.0,15.53,6.19,23,0,41,OFF,2025-10-03 10:04:21,10,4,0,2.5757018285918947,0.0,65.8324189213151
p3,80.0,16.38,4.46,10,11,94,OFF,2025-10-03 10:08:03,10,4,0,0.0,0.0,54.17897492216532
p1,70.53,19.37,7.78,62,51,9,OFF,2025-10-03 11:02:10,11,4,0,0.0,2.6289713318264085,35.369247360535645
p2,80.0,16.33,7.41,23,27,77,OFF,2025-10-03 11:04:33,11,4,0,0.0,1.238570462137965,39.17955422263683
p1,62.14,29.78,5.96,86,49,89,ON,2025-10-03 11:16:45,11,4,1,32.93161762034858,4.909843971912147,7.247939614439677
p3,61.15,32.02,5.48,44,2,66,OFF,2025-10-03 11:52:26,11,4,0,6.5542168175075055,6.334588080169212,46.63086580743378
p2,64.02,24.84,4.52,0,33,39,ON,2025-10-03 13:25:00,13,4,1,2.2176988669158857,2.375062542315106,66.53568905148936
p1,62.51,22.95,6.95,96,41,16,OFF,2025-10-03 13:42:12,13,4,0,28.49188469773998,2.068006717230708,34.27319765850069
p1,54.5,27.61,4.57,51,43,68,OFF,2025-10-03 14:22:40,14,4,0,0.7569082179872759,9.2958538438167,21.72109449083819
p2,48.16,36.88,4.0,26,55,47,OFF,2025-10-03 16:16:26,16,4,0,1.877856840124667,15.362653453111818,31.740144735677998
p3,52.17,36.28,4.34,68,78,15,OFF,2025-10-03 19:05:52,19,4,0,0.0,16.658111131622498,23.30201069123857
p3,77.23,16.09,6.88,53,47,36,OFF,2025-10-03 19:31:56,19,4,0,11.87052248318522,0.8338680469491638,29.84206830402935
p2,80.0,19.54,6.46,2,84,97,OFF,2025-10-03 19:41:28,19,4,0,4.724017986024187,0.0,34.6300550660598
p1,78.43,20.92,6.32,76,53,26,OFF,2025-10-03 20:18:53,20,4,0,19.674383090269256,0.8362451612494199,22.38650473490403
p3,67.71,21.23,7.21,40,26,18,OFF,2025-10-03 20:46:28,20,4,0,10.603504632613664,0.0,52.60589711620426
p2,64.6,29.28,4.0,70,23,68,OFF,2025-10-03 21:50:18,21,4,0,0.0,3.968760077883845,16.828801163097413
p3,65.48,25.41,7.08,90,32,20,OFF,2025-10-04 02:55:01,2,5,0,26.34681971480437,0.0,37.6957015872654
p1,77.1,16.23,4.76,61,60,92,OFF,2025-10-04 03:51:20,3,5,0,0.0,0.7516281489336987,7.396912331481447
p1,69.72,24.34,5.84,67,24,86,OFF,2025-10-04 04:15:00,4,5,0,23.381257363850903,2.2499664446147016,17.569347282573645
p3,67.38,28.09,4.0,25,92,99,OFF,2025-10-04 06:35:29,6,5,0,1.44577647234104,1.7906528163074893,25.69605345783505
p3,75.25,17.54,8.14,24,48,92,OFF,2025-10-04 07:05:46,7,5,0,1.6504547812091275,0.1417049877294573,28.92810877036786
p2,60.32,35.84,4.37,41,87,24,OFF,2025-10-04 07:44:13,7,5,0,2.016793268020037,6.1362031272840225,34.2600418443904
p3,72.73,16.3,4.0,86,69,21,OFF,2025-10-04 08:06:58,8,5,0,0.0,0.0,24.777149036845625
p3,52.29,38.12,5.28,52,33,34,OFF,2025-10-04 09:05:59,9,5,0,0.0,12.020952266608747,39.79088275470042
p2,80.0,17.48,4.0,35,23,47,OFF,2025-10-04 09:06:08,9,5,0,0.0,0.0,47.124458069329734
p3,55.81,36.09,4.0,78,75,88,OFF,2025-10-04 09:29:33,9,5,0,0.0,11.984885560476402,5.726371075370899
p1,60.09,37.57,5.52,86,33,74,ON,2025-10-04 10:34:13,10,5,1,0.0,6.400695050972263,12.09888829264008
p1,51.07,39.49,4.31,91,24,65,ON,2025-10-04 10:50:46,10,5,1,0.0,12.888805595925842,15.989743496074997
p3,58.84,35.05,7.52,30,93,88,OFF,2025-10-04 11:17:08,11,5,0,0.0,6.4110536047077336,18.886264768261594
p2,56.33,34.49,4.14,71,48,65,OFF,2025-10-04 11:49:06,11,5,0,1.2110153983928267,10.760056021045838,5.552286313464365
p1,59.87,31.06,6.62,59,4,38,OFF,2025-10-04 12:28:26,12,5,0,26.54665831751763,6.77640994974672,39.77845342028222
p3,52.73,34.47,5.31,45,49,41,OFF,2025-10-04 12:53:00,12,5,0,1.293214854215178,12.82699376734839,28.325083710962204
p1,78.11,18.36,6.36,40,46,52,OFF,2025-10-04 13:32:46,13,5,0,20.170816934958285,0.0,25.734708856946845
p3,59.66,28.4,6.46,11,87,8,OFF,2025-10-04 15:01:37,15,5,0,15.827275310109254,6.39204370525942,60.77233193377235
p1,67.9,27.86,5.45,27,71,74,OFF,2025-10-04 15:45:30,15,5,0,11.755480399674617,0.2136583125740279,23.688837084398543
p3,59.7,36.44,7.65,55,19,65,OFF,2025-10-04 16:26:19,16,5,0,0.0,6.316578952981336,27.6715943272183
p3,67.95,26.57,4.1,89,15,73,OFF,2025-10-04 16:47:02,16,5,0,0.0,2.440206731087618,25.4540930624045
p3,67.02,24.63,4.0,87,60,53,OFF,2025-10-04 16:59:25,16,5,0,0.0,2.0059165183785965,5.853999705787098
p2,63.08,30.99,6.87,18,4,79,OFF,2025-10-04 17:10:15,17,5,0,13.42180377788465,1.711635231073796,54.53646789378366
p2,70.46,21.66,6.8,68,32,95,OFF,2025-10-04 20:31:46,20,5,0,34.6476604866167,0.0,14.31040091806327
p3,80.0,18.49,4.0,8,13,57,OFF,2025-10-04 21:10:05,21,5,0,0.0,0.1630532292201145,52.271278859758674
p1,56.51,26.95,5.09,68,2,44,ON,2025-10-04 21:28:22,21,5,1,3.9938061878487634,10.423698562004265,36.72802007689214
p3,65.82,25.42,7.55,34,92,10,ON,2025-10-04 23:34:13,23,5,1,5.869826815486086,0.0,43.035749213466104
p2,63.07,20.81,6.8,45,9,78,OFF,2025-10-05 01:05:49,1,6,0,27.75400254882023,2.082999409355756,40.22249852981807
p2,61.5,24.19,7.61,72,0,91,OFF,2025-10-05 01:11:41,1,6,0,2.8930491561993055,1.3644350026402785,28.742799330341605
p2,75.83,24.16,5.44,42,94,70,OFF,2025-10-05 01:33:38,1,6,0,5.778220941108455,0.0,13.196486144115829
p2,74.65,23.19,5.75,81,19,87,OFF,2025-10-05 01:51:46,1,6,0,10.62106029046807,0.0,17.902955323673257
p1,65.02,24.49,4.13,53,82,86,OFF,2025-10-05 01:52:49,1,6,0,0.7199049142131299,0.04273748484466333,9.460710116646444
p1,51.92,32.14,6.99,100,3,80,OFF,2025-10-05 03:04:41,3,6,0,9.975811067372447,11.484306090511186,31.277143783754724
p1,56.27,22.42,4.66,64,15,50,OFF,2025-10-05 03:12:54,3,6,0,5.218844974037897,7.357810590564553,33.31235920315421
p1,48.82,38.72,7.18,29,11,10,OFF,2025-10-05 06:03:01,6,6,0,0.0,14.949116650054133,73.72129392203156
p2,64.61,37.91,4.56,78,71,0,ON,2025-10-05 07:18:31,7,6,1,0.0,0.804813922718771,26.955728378916866
p3,67.75,27.02,5.89,41,62,20,OFF,2025-10-05 07:37:05,7,6,0,25.28607468688075,2.2228044187841647,34.45592848200566
p2,67.35,23.21,6.48,53,48,43,OFF,2025-10-05 08:07:42,8,6,0,59.57414018797766,1.6108082507233208,22.988606298834018
p2,66.26,28.39,6.03,13,24,75,OFF,2025-10-05 08:43:27,8,6,0,25.08099347852672,2.523261465034003,47.73748248229076
p3,46.74,36.21,8.19,12,8,46,OFF,2025-10-05 09:16:25,9,6,0,2.5666837611772424,14.728398255603878,65.48810154870635
p2,58.94,31.31,4.99,58,57,2,OFF,2025-10-05 10:41:46,10,6,0,2.468658868735479,6.992877228876228,42.697676748692004
p1,56.37,35.11,6.81,18,23,21,ON,2025-10-05 12:53:30,12,6,1,9.771197574140578,10.184468283710387,69.80470969068537
p3,63.59,28.32,4.0,100,59,98,OFF,2025-10-05 13:15:35,13,6,0,0.0,0.8291968973406196,0.0
p2,64.97,30.82,4.18,86,69,99,OFF,2025-10-05 14:28:20,14,6,0,0.0,1.6607598722731947,2.0352086258899007
p2,73.08,22.2,4.7,70,85,38,OFF,2025-10-05 15:23:16,15,6,0,0.0,0.15560003203445127,13.499854471418262
p2,61.29,33.37,4.0,74,49,81,OFF,2025-10-05 15:37:45,15,6,0,0.0,7.736725987852396,3.3712712653558317
p2,70.49,20.06,4.0,60,0,72,OFF,2025-10-05 16:39:05,16,6,0,0.0,2.8957440555188594,39.38870303106421
p1,63.65,32.37,6.85,6,28,94,OFF,2025-10-05 19:10:27,19,6,0,13.163264113817673,0.4389654100046996,50.04518588163789
p2,62.32,36.52,6.08,39,86,89,OFF,2025-10-05 20:46:58,20,6,0,7.7172508038752,8.362890508591985,12.085929003640878
p3,71.19,18.3,6.16,50,53,63,ON,2025-10-05 20:58:50,20,6,1,25.212167649803455,0.0,15.576134489700898
p1,57.13,30.36,4.0,92,62,39,OFF,2025-10-05 21:09:32,21,6,0,0.0,9.321009941491136,11.70351704979094
p2,80.0,17.38,4.93,22,46,63,OFF,2025-10-05 21:26:02,21,6,0,1.2734886333643918,1.4557469712955964,31.94854605981094
p1,57.27,33.14,4.08,50,16,32,OFF,2025-10-05 21:53:10,21,6,0,2.5197094817673134,6.6614646597372875,48.308693376629044
p2,80.0,17.11,6.92,34,90,35,OFF,2025-10-05 22:44:55,22,6,0,11.518682064818318,0.7399016907586485,29.948006721229355
p2,49.71,38.4,7.61,13,78,61,OFF,2025-10-05 22:56:10,22,6,0,9.547732008866895,14.830699383600903,31.83039151139133
p3,80.0,18.44,4.51,10,100,57,OFF,2025-10-05 23:51:14,23,6,0,1.2754121088921522,0.831495006948586,33.02754283331532
p1,51.89,38.97,6.28,36,86,58,ON,2025-10-06 03:33:02,3,0,1,1.5799007017204354,13.679508453570937,19.446714952897317
p1,57.26,35.02,4.3,8,29,38,ON,2025-10-06 04:16:38,4,0,1,0.0,10.239509228055372,61.597741562760305
p2,70.01,29.84,5.06,6,25,41,OFF,2025-10-06 06:26:15,6,0,0,1.929366451895815,1.5890993147190933,58.64150631461577
p3,54.71,34.57,4.07,35,25,1,OFF,2025-10-06 06:52:11,6,0,0,0.0,10.165688895860532,65.21188777645911
p3,51.44,34.88,4.57,20,92,60,ON,2025-10-06 06:56:51,6,0,1,0.0,14.724096349585773,19.685956094835582
p1,49.38,38.65,6.14,56,56,58,OFF,2025-10-06 07:13:53,7,0,0,3.359838184883894,16.164093947287903,12.220542564944903
p1,74.66,21.33,8.07,1,45,94,OFF,2025-10-06 08:08:06,8,0,0,0.14625184748829834,1.2972200914813317,40.573896244549175
p3,54.47,29.75,4.02,30,97,50,OFF,2025-10-06 08:41:22,8,0,0,3.203012839072573,8.889619991612106,26.713498603371164
p1,80.0,17.38,5.65,45,60,47,OFF,2025-10-06 09:45:06,9,0,0,5.100270031641094,0.0,21.11296467481866
p3,58.82,30.4,5.67,97,91,6,OFF,2025-10-06 09:48:08,9,0,0,7.64307829764798,5.6524167851209475,30.228111148256506
p1,80.0,19.28,7.35,64,99,19,OFF,2025-10-06 11:27:08,11,0,0,0.587817008085938,0.0,21.12479136375498
p3,51.08,29.12,5.6,88,8,34,OFF,2025-10-06 11:27:38,11,0,0,1.7757324345400844,13.683298902979374,40.85714672452529
p1,58.89,29.31,4.51,34,36,38,OFF,2025-10-06 11:45:58,11,0,0,0.0,7.7484760754410775,48.16873599920535
p2,57.59,26.65,6.05,45,74,36,OFF,2025-10-06 13:15:28,13,0,0,37.509396920937725,6.692804565701397,30.93241772416348
p2,60.19,28.07,4.53,42,82,39,OFF,2025-10-06 13:25:52,13,0,0,5.511562216173725,7.204878528236531,28.75144296629138
p1,58.32,34.1,7.26,89,14,77,OFF,2025-10-06 14:23:25,14,0,0,8.736661658227062,9.511704090647696,25.22300573224599
p2,55.13,34.98,4.39,96,32,13,OFF,2025-10-06 15:07:58,15,0,0,2.9694443591367308,10.508098374600806,36.458365043990185
p2,63.97,27.3,5.65,97,55,33,OFF,2025-10-06 15:41:53,15,0,0,17.774811108652976,0.6861623426854409,18.997970139331052
p3,61.22,29.99,4.0,75,80,16,OFF,2025-10-06 16:49:48,16,0,0,0.0,6.885564974153311,22.683831050601583
p3,53.08,38.28,5.11,50,11,31,OFF,2025-10-06 17:29:58,17,0,0,0.0,12.18647397345739,53.26053219423959
p2,71.37,17.99,7.12,54,60,69,OFF,2025-10-06 18:11:48,18,0,0,17.655667089539833,0.1892477946464619,6.522522267022596
p2,80.0,17.93,5.44,99,29,4,OFF,2025-10-06 18:33:11,18,0,0,7.610705912602072,0.0,45.27067434569074
p2,80.0,17.19,5.61,28,21,34,OFF,2025-10-06 19:18:18,19,0,0,0.0,0.0,56.80823155391348
p2,62.19,31.45,7.94,35,52,2,OFF,2025-10-06 21:40:34,21,0,0,3.8791219232492224,1.7625408545270642,53.89672901132368
p3,70.22,25.47,6.47,90,41,96,OFF,2025-10-06 21:47:10,21,0,0,36.82802051473252,1.7698024853359318,11.481168143380744
p1,58.25,34.36,4.55,39,64,73,OFF,2025-10-06 21:51:18,21,0,0,2.915827377011589,6.378898419155069,14.578204520109514
p1,70.04,31.78,6.18,23,32,24,OFF,2025-10-07 00:49:01,0,1,0,13.73986703471933,6.356296843495236,54.39119927524834
p2,69.56,23.34,5.22,56,83,20,ON,2025-10-07 01:24:16,1,1,1,3.535679618281932,0.0,33.29540775127833
p1,51.51,37.46,6.63,32,7,9,OFF,2025-10-07 01:37:36,1,1,0,1.7939242375097397,11.524926287527947,82.20460461233323
p1,53.36,34.06,4.0,89,87,47,OFF,2025-10-07 04:04:04,4,1,0,0.0,12.186208073420163,8.184367396765031
p1,66.72,21.76,4.0,91,3,76,OFF,2025-10-07 04:45:45,4,1,0,1.3443060970113896,2.557970218450943,26.028023715809667
p3,62.85,24.1,7.64,30,74,59,OFF,2025-10-07 05:54:40,5,1,0,7.905546904558586,2.4318844854148316,19.259362017892425
p3,66.12,22.86,7.42,53,34,88,OFF,2025-10-07 08:55:35,8,1,0,10.65816508242499,1.2873636302809113,24.15893165452133
p3,74.92,18.94,6.48,99,38,34,OFF,2025-10-07 10:53:51,10,1,0,15.164515294382305,0.0,29.286504729780702
p2,77.24,18.69,7.69,74,1,28,OFF,2025-10-07 11:39:11,11,1,0,2.258951246521618,0.0,44.25606493847969
p3,52.17,38.4,6.99,21,70,48,OFF,2025-10-07 11:48:06,11,1,0,8.87658615623608,11.413576406293648,31.732264695348036
p1,63.04,25.95,6.81,59,16,20,OFF,2025-10-07 11:50:28,11,1,0,32.77656564031843,0.0,50.587796193331904
p3,73.0,24.58,6.32,62,66,98,OFF,2025-10-07 12:05:56,12,1,0,38.458849371128125,0.8624703510358301,6.804261669647097
p2,61.81,33.24,5.08,65,73,18,OFF,2025-10-07 12:33:18,12,1,0,2.554988032886448,1.1737585675843483,23.70603882206202
p3,62.61,28.82,5.77,2,85,48,OFF,2025-10-07 13:38:13,13,1,0,20.605507504136003,1.2517060508688274,37.413819083928956
p1,48.65,38.4,4.31,30,71,52,OFF,2025-10-07 14:07:45,14,1,0,0.6641399243491551,15.034209308979875,27.12675057309555
p2,59.33,34.51,5.8,86,30,5,OFF,2025-10-07 14:38:29,14,1,0,5.972112894287971,5.465571246073386,48.11123000077687
p3,66.56,26.98,4.65,24,74,47,OFF,2025-10-07 15:53:23,15,1,0,3.7178128793763134,1.6416127533106015,30.80485719371189
p2,61.47,24.41,4.37,30,83,45,OFF,2025-10-07 17:25:12,17,1,0,1.3721258042898354,3.943870287853721,30.163088694971925
p2,50.06,39.67,6.24,32,32,26,OFF,2025-10-07 19:15:19,19,1,0,6.573005114652908,16.243198118903184,51.208105259087205
p1,59.78,32.94,5.71,17,12,12,OFF,2025-10-07 19:23:04,19,1,0,2.9741748833768478,7.245575599069016,75.88373424740126
p2,46.97,38.78,4.5,15,89,4,ON,2025-10-07 19:33:17,19,1,1,0.0,18.95221918404207,61.500329673220605
p1,77.39,17.96,7.5,35,14,0,OFF,2025-10-07 19:42:42,19,1,0,0.0,0.0,75.37301385923284
p1,47.21,36.26,6.6,88,59,48,OFF,2025-10-07 21:13:07,21,1,0,13.478808173778145,17.126200351225005,8.313211061363543
p3,67.57,30.93,4.72,0,23,9,OFF,2025-10-07 22:05:13,22,1,0,5.271158429661191,2.406770552878787,87.66424018082594
p2,80.0,18.05,4.0,28,12,96,OFF,2025-10-07 22:14:01,22,1,0,0.0,0.21248504608653856,44.20389404967585
p2,61.09,29.71,5.21,6,78,24,OFF,2025-10-07 23:02:16,23,1,0,1.287418040473414,3.9887085351243865,50.97550014289015
p2,61.23,32.15,6.9,56,14,65,OFF,2025-10-07 23:49:10,23,1,0,29.830731606921166,4.339836198490347,32.052747414925136
p3,67.58,15.31,7.35,25,67,68,OFF,2025-10-08 00:49:17,0,2,0,3.9120932019742103,0.0,21.991270813032063
p1,60.59,26.36,4.0,79,70,50,OFF,2025-10-08 00:51:16,0,2,0,0.0,5.1144252448647425,7.612567500554192
p2,53.77,35.63,6.7,59,6,89,OFF,2025-10-08 01:49:33,1,2,0,11.189408394447852,11.187477238872265,33.64832865307752
p1,65.78,22.38,4.0,79,17,11,OFF,2025-10-08 04:16:00,4,2,0,0.0,0.0,45.44345420908738
p2,69.82,26.46,4.6,64,80,23,OFF,2025-10-08 04:33:08,4,2,0,0.27717827707512743,0.0,22.828893972931407
p3,76.72,26.06,8.05,44,51,25,OFF,2025-10-08 04:43:08,4,2,0,0.3896740358779537,0.0,37.35312157557826
p2,53.75,34.67,6.75,26,42,64,ON,2026-05-19 00:16:50,0,1,1,15.242905580816911,12.668762011855799,35.43562513605742
p1,73.84,18.08,5.1,93,79,28,OFF,2026-05-19 00:16:51,0,1,0,5.491744356971154,0.11792650429768134,18.02152797260017
p1,57.91,38.97,7.16,41,99,21,OFF,2026-05-19 00:16:53,0,1,0,2.308844628197752,7.223299970640099,37.17291285829003
p1,73.95,23.93,4.77,65,9,39,OFF,2026-05-19 00:17:09,0,1,0,2.405029357652398,1.8023216244030273,41.48719084149536
p1,57.41,35.51,6.08,28,54,89,OFF,2026-05-19 00:17:13,0,1,0,4.51448189022705,7.557826785308443,24.698490330861052
p1,55.88,28.26,7.25,69,12,46,OFF,2026-05-19 00:17:14,0,1,0,18.786195887483686,6.425249059481649,31.009237391508307
p2,66.34,27.25,4.33,77,41,51,OFF,2026-05-19 00:17:16,0,1,0,0.0,2.6193334338286993,15.603357160241284
p1,54.73,37.96,4.0,5,23,22,OFF,2026-05-19 00:17:18,0,1,0,0.0,10.104354515650835,72.68483622866486
