ID_PIVO,UMIDADE,TEMPERATURA,PH,N,P,K,ESTADO_BOMBA,CAPTURADO_EM
p1,74.07,25.48,4.0,98,10,84,OFF,2025-10-02 07:27:06
p1,50.67,39.16,7.7,24,29,19,OFF,2025-10-02 07:27:31
p2,68.89,29.9,4.26,41,4,1,OFF,2025-10-02 07:45:06
p3,52.47,38.33,5.93,7,5,5,OFF,2025-10-02 09:03:04
p1,51.68,35.11,4.77,80,24,60,OFF,2025-10-02 09:39:14
p3,63.01,26.68,4.0,65,57,15,OFF,2025-10-02 10:39:34
p3,49.05,34.62,7.34,8,6,23,OFF,2025-10-02 11:25:51
p1,75.02,15.45,7.28,22,99,85,OFF,2025-10-02 11:41:52
p2,74.94,17.73,7.09,56,45,88,OFF,2025-10-02 12:07:01
p1,59.14,35.74,4.53,54,26,84,OFF,2025-10-02 12:08:55
p3,64.7,34.92,5.16,81,52,25,OFF,2025-10-02 12:21:28
p3,66.11,20.82,4.35,26,79,62,OFF,2025-10-02 13:37:18
p2,66.04,28.27,4.0,93,31,61,OFF,2025-10-02 15:00:03
p1,56.62,30.15,4.08,44,4,18,OFF,2025-10-02 15:59:49
p3,56.34,36.69,7.27,83,5,55,OFF,2025-10-02 16:03:36
p2,61.25,30.08,7.58,24,86,53,ON,2025-10-02 19:32:03
p3,58.47,25.31,7.68,3,11,40,ON,2025-10-02 20:40:33
p3,73.42,24.35,6.03,5,64,75,ON,2025-10-02 21:43:28
p3,64.2,25.65,5.54,37,38,68,OFF,2025-10-02 22:28:59
p3,57.77,31.3,4.74,96,78,53,OFF,2025-10-02 22:58:14
p1,48.63,36.69,6.38,4,6,73,ON,2025-10-03 01:00:07
p2,63.11,26.35,5.03,37,90,77,OFF,2025-10-03 01:52:17
p2,74.7,21.2,4.04,11,70,57,OFF,2025-10-03 02:05:36
p2,71.95,20.92,4.0,94,45,27,OFF,2025-10-03 02:16:19
p1,59.26,33.65,7.43,68,20,76,ON,2025-10-03 02:39:58
p2,57.31,35.41,4.65,77,98,72,OFF,2025-10-03 02:51:06
p1,80.0,17.63,7.27,72,30,99,OFF,2025-10-03 03:44:11
p3,76.29,16.66,4.0,66,49,15,OFF,2025-10-03 04:20:32
p3,54.78,29.86,5.32,78,39,42,OFF,2025-10-03 05:07:31
p3,80.0,18.65,4.67,0,23,93,OFF,2025-10-03 05:14:50
p3,53.6,35.62,4.0,87,42,51,OFF,2025-10-03 05:48:21
p2,76.26,22.76,4.0,74,15,95,OFF,2025-10-03 06:52:27
p3,77.6,18.6,4.0,74,0,1,OFF,2025-10-03 07:31:06
p2,51.72,38.02,7.87,39,29,3,OFF,2025-10-03 08:11:53
p1,76.78,19.14,4.12,80,11,80,OFF,2025-10-03 08:23:55
p3,80.0,22.12,6.2,38,41,36,OFF,2025-10-03 08:45:58
p2,80.0,18.84,5.76,4,87,52,OFF,2025-10-03 09:24:02
p1,76.88,17.89,4.44,91,16,43,OFF,2025-10-03 09:51:21
p2,80.0,15.53,6.19,23,0,41,OFF,2025-10-03 10:04:21
p3,80.0,16.38,4.46,10,11,94,OFF,2025-10-03 10:08:03
p1,70.53,19.37,7.78,62,51,9,OFF,2025-10-03 11:02:10
p2,80.0,16.33,7.41,23,27,77,OFF,2025-10-03 11:04:33
p1,62.14,29.78,5.96,86,49,89,ON,2025-10-03 11:16:45
p3,61.15,32.02,5.48,44,2,66,OFF,2025-10-03 11:52:26
p2,64.02,24.84,4.52,0,33,39,ON,2025-10-03 13:25:00
p1,62.51,22.95,6.95,96,41,16,OFF,2025-10-03 13:42:12
p1,54.5,27.61,4.57,51,43,68,OFF,2025-10-03 14:22:40
p2,48.16,36.88,4.0,26,55,47,OFF,2025-10-03 16:16:26
p3,52.17,36.28,4.34,68,78,15,OFF,2025-10-03 19:05:52
p3,77.23,16.09,6.88,53,47,36,OFF,2025-10-03 19:31:56
p2,80.0,19.54,6.46,2,84,97,OFF,2025-10-03 19:41:28
p1,78.43,20.92,6.32,76,53,26,OFF,2025-10-03 20:18:53
p3,67.71,21.23,7.21,40,26,18,OFF,2025-10-03 20:46:28
p2,64.6,29.28,4.0,70,23,68,OFF,2025-10-03 21:50:18
p3,65.48,25.41,7.08,90,32,20,OFF,2025-10-04 02:55:01
p1,77.1,16.23,4.76,61,60,92,OFF,2025-10-04 03:51:20
p1,69.72,24.34,5.84,67,24,86,OFF,2025-10-04 04:15:00
p3,67.38,28.09,4.0,25,92,99,OFF,2025-10-04 06:35:29
p3,75.25,17.54,8.14,24,48,92,OFF,2025-10-04 07:05:46
p2,60.32,35.84,4.37,41,87,24,OFF,2025-10-04 07:44:13
p3,72.73,16.3,4.0,86,69,21,OFF,2025-10-04 08:06:58
p3,52.29,38.12,5.28,52,33,34,OFF,2025-10-04 09:05:59
p2,80.0,17.48,4.0,35,23,47,OFF,2025-10-04 09:06:08
p3,55.81,36.09,4.0,78,75,88,OFF,2025-10-04 09:29:33
p1,60.09,37.57,5.52,86,33,74,ON,2025-10-04 10:34:13
p1,51.07,39.49,4.31,91,24,65,ON,2025-10-04 10:50:46
p3,58.84,35.05,7.52,30,93,88,OFF,2025-10-04 11:17:08
p2,56.33,34.49,4.14,71,48,65,OFF,2025-10-04 11:49:06
p1,59.87,31.06,6.62,59,4,38,OFF,2025-10-04 12:28:26
p3,52.73,34.47,5.31,45,49,41,OFF,2025-10-04 12:53:00
p1,78.11,18.36,6.36,40,46,52,OFF,2025-10-04 13:32:46
p3,59.66,28.4,6.46,11,87,8,OFF,2025-10-04 15:01:37
p1,67.9,27.86,5.45,27,71,74,OFF,2025-10-04 15:45:30
p3,59.7,36.44,7.65,55,19,65,OFF,2025-10-04 16:26:19
p3,67.95,26.57,4.1,89,15,73,OFF,2025-10-04 16:47:02
p3,67.02,24.63,4.0,87,60,53,OFF,2025-10-04 16:59:25
p2,63.08,30.99,6.87,18,4,79,OFF,2025-10-04 17:10:15
p2,70.46,21.66,6.8,68,32,95,OFF,2025-10-04 20:31:46
p3,80.0,18.49,4.0,8,13,57,OFF,2025-10-04 21:10:05
p1,56.51,26.95,5.09,68,2,44,ON,2025-10-04 21:28:22
p3,65.82,25.42,7.55,34,92,10,ON,2025-10-04 23:34:13
p2,63.07,20.81,6.8,45,9,78,OFF,2025-10-05 01:05:49
p2,61.5,24.19,7.61,72,0,91,OFF,2025-10-05 01:11:41
p2,75.83,24.16,5.44,42,94,70,OFF,2025-10-05 01:33:38
p2,74.65,23.19,5.75,81,19,87,OFF,2025-10-05 01:51:46
p1,65.02,24.49,4.13,53,82,86,OFF,2025-10-05 01:52:49
p1,51.92,32.14,6.99,100,3,80,OFF,2025-10-05 03:04:41
p1,56.27,22.42,4.66,64,15,50,OFF,2025-10-05 03:12:54
p1,48.82,38.72,7.18,29,11,10,OFF,2025-10-05 06:03:01
p2,64.61,37.91,4.56,78,71,0,ON,2025-10-05 07:18:31
p3,67.75,27.02,5.89,41,62,20,OFF,2025-10-05 07:37:05
p2,67.35,23.21,6.48,53,48,43,OFF,2025-10-05 08:07:42
p2,66.26,28.39,6.03,13,24,75,OFF,2025-10-05 08:43:27
p3,46.74,36.21,8.19,12,8,46,OFF,2025-10-05 09:16:25
p2,58.94,31.31,4.99,58,57,2,OFF,2025-10-05 10:41:46
p1,56.37,35.11,6.81,18,23,21,ON,2025-10-05 12:53:30
p3,63.59,28.32,4.0,100,59,98,OFF,2025-10-05 13:15:35
p2,64.97,30.82,4.18,86,69,99,OFF,2025-10-05 14:28:20
p2,73.08,22.2,4.7,70,85,38,OFF,2025-10-05 15:23:16
p2,61.29,33.37,4.0,74,49,81,OFF,2025-10-05 15:37:45
p2,70.49,20.06,4.0,60,0,72,OFF,2025-10-05 16:39:05
p1,63.65,32.37,6.85,6,28,94,OFF,2025-10-05 19:10:27
p2,62.32,36.52,6.08,39,86,89,OFF,2025-10-05 20:46:58
p3,71.19,18.3,6.16,50,53,63,ON,2025-10-05 20:58:50
p1,57.13,30.36,4.0,92,62,39,OFF,2025-10-05 21:09:32
p2,80.0,17.38,4.93,22,46,63,OFF,2025-10-05 21:26:02
p1,57.27,33.14,4.08,50,16,32,OFF,2025-10-05 21:53:10
p2,80.0,17.11,6.92,34,90,35,OFF,2025-10-05 22:44:55
p2,49.71,38.4,7.61,13,78,61,OFF,2025-10-05 22:56:10
p3,80.0,18.44,4.51,10,100,57,OFF,2025-10-05 23:51:14
p1,51.89,38.97,6.28,36,86,58,ON,2025-10-06 03:33:02
p1,57.26,35.02,4.3,8,29,38,ON,2025-10-06 04:16:38
p2,70.01,29.84,5.06,6,25,41,OFF,2025-10-06 06:26:15
p3,54.71,34.57,4.07,35,25,1,OFF,2025-10-06 06:52:11
p3,51.44,34.88,4.57,20,92,60,ON,2025-10-06 06:56:51
p1,49.38,38.65,6.14,56,56,58,OFF,2025-10-06 07:13:53
p1,74.66,21.33,8.07,1,45,94,OFF,2025-10-06 08:08:06
p3,54.47,29.75,4.02,30,97,50,OFF,2025-10-06 08:41:22
p1,80.0,17.38,5.65,45,60,47,OFF,2025-10-06 09:45:06
p3,58.82,30.4,5.67,97,91,6,OFF,2025-10-06 09:48:08
p1,80.0,19.28,7.35,64,99,19,OFF,2025-10-06 11:27:08
p3,51.08,29.12,5.6,88,8,34,OFF,2025-10-06 11:27:38
p1,58.89,29.31,4.51,34,36,38,OFF,2025-10-06 11:45:58
p2,57.59,26.65,6.05,45,74,36,OFF,2025-10-06 13:15:28
p2,60.19,28.07,4.53,42,82,39,OFF,2025-10-06 13:25:52
p1,58.32,34.1,7.26,89,14,77,OFF,2025-10-06 14:23:25
p2,55.13,34.98,4.39,96,32,13,OFF,2025-10-06 15:07:58
p2,63.97,27.3,5.65,97,55,33,OFF,2025-10-06 15:41:53
p3,61.22,29.99,4.0,75,80,16,OFF,2025-10-06 16:49:48
p3,53.08,38.28,5.11,50,11,31,OFF,2025-10-06 17:29:58
p2,71.37,17.99,7.12,54,60,69,OFF,2025-10-06 18:11:48
p2,80.0,17.93,5.44,99,29,4,OFF,2025-10-06 18:33:11
p2,80.0,17.19,5.61,28,21,34,OFF,2025-10-06 19:18:18
p2,62.19,31.45,7.94,35,52,2,OFF,2025-10-06 21:40:34
p3,70.22,25.47,6.47,90,41,96,OFF,2025-10-06 21:47:10
p1,58.25,34.36,4.55,39,64,73,OFF,2025-10-06 21:51:18
p1,70.04,31.78,6.18,23,32,24,OFF,2025-10-07 00:49:01
p2,69.56,23.34,5.22,56,83,20,ON,2025-10-07 01:24:16
p1,51.51,37.46,6.63,32,7,9,OFF,2025-10-07 01:37:36
p1,53.36,34.06,4.0,89,87,47,OFF,2025-10-07 04:04:04
p1,66.72,21.76,4.0,91,3,76,OFF,2025-10-07 04:45:45
p3,62.85,24.1,7.64,30,74,59,OFF,2025-10-07 05:54:40
p3,66.12,22.86,7.42,53,34,88,OFF,2025-10-07 08:55:35
p3,74.92,18.94,6.48,99,38,34,OFF,2025-10-07 10:53:51
p2,77.24,18.69,7.69,74,1,28,OFF,2025-10-07 11:39:11
p3,52.17,38.4,6.99,21,70,48,OFF,2025-10-07 11:48:06
p1,63.04,25.95,6.81,59,16,20,OFF,2025-10-07 11:50:28
p3,73.0,24.58,6.32,62,66,98,OFF,2025-10-07 12:05:56
p2,61.81,33.24,5.08,65,73,18,OFF,2025-10-07 12:33:18
p3,62.61,28.82,5.77,2,85,48,OFF,2025-10-07 13:38:13
p1,48.65,38.4,4.31,30,71,52,OFF,2025-10-07 14:07:45
p2,59.33,34.51,5.8,86,30,5,OFF,2025-10-07 14:38:29
p3,66.56,26.98,4.65,24,74,47,OFF,2025-10-07 15:53:23
p2,61.47,24.41,4.37,30,83,45,OFF,2025-10-07 17:25:12
p2,50.06,39.67,6.24,32,32,26,OFF,2025-10-07 19:15:19
p1,59.78,32.94,5.71,17,12,12,OFF,2025-10-07 19:23:04
p2,46.97,38.78,4.5,15,89,4,ON,2025-10-07 19:33:17
p1,77.39,17.96,7.5,35,14,0,OFF,2025-10-07 19:42:42
p1,47.21,36.26,6.6,88,59,48,OFF,2025-10-07 21:13:07
p3,67.57,30.93,4.72,0,23,9,OFF,2025-10-07 22:05:13
p2,80.0,18.05,4.0,28,12,96,OFF,2025-10-07 22:14:01
p2,61.09,29.71,5.21,6,78,24,OFF,2025-10-07 23:02:16
p2,61.23,32.15,6.9,56,14,65,OFF,2025-10-07 23:49:10
p3,67.58,15.31,7.35,25,67,68,OFF,2025-10-08 00:49:17
p1,60.59,26.36,4.0,79,70,50,OFF,2025-10-08 00:51:16
p2,53.77,35.63,6.7,59,6,89,OFF,2025-10-08 01:49:33
p1,65.78,22.38,4.0,79,17,11,OFF,2025-10-08 04:16:00
p2,69.82,26.46,4.6,64,80,23,OFF,2025-10-08 04:33:08
p3,76.72,26.06,8.05,44,51,25,OFF,2025-10-08 04:43:08
p2,53.75,34.67,6.75,26,42,64,ON,2026-05-19 00:16:50
p1,73.84,18.08,5.1,93,79,28,OFF,2026-05-19 00:16:51
p1,57.91,38.97,7.16,41,99,21,OFF,2026-05-19 00:16:53
p1,73.95,23.93,4.77,65,9,39,OFF,2026-05-19 00:17:09
p1,57.41,35.51,6.08,28,54,89,OFF,2026-05-19 00:17:13
p1,55.88,28.26,7.25,69,12,46,OFF,2026-05-19 00:17:14
p2,66.34,27.25,4.33,77,41,51,OFF,2026-05-19 00:17:16
p1,54.73,37.96,4,5,23,22,OFF,2026-05-19 00:17:18
p3,63.27,32.82,5.62,14,46,80,ON,2026-05-19 00:17:19
p1,50.92,34.61,5.25,25,35,71,ON,2026-05-19 00:17:23
p2,65.05,21.84,4,31,11,2,OFF,2026-05-19 00:17:29
p1,49.85,31.53,4,46,13,83,OFF,2026-05-19 00:17:33
p1,55.74,37.63,5.95,69,77,85,ON,2026-05-19 00:17:34
p3,68.5,28.32,4.48,0,12,72,OFF,2026-05-19 00:17:37
p3,60.13,27.31,6.81,24,61,21,OFF,2026-05-19 00:17:38
p3,62.13,23.86,7.26,60,16,5,OFF,2026-05-19 00:17:38
p1,49.8,39.36,6.29,90,8,30,OFF,2026-05-19 00:17:41
p3,46.28,37.62,6.41,48,12,52,OFF,2026-05-19 00:17:43
p1,69.06,25.4,4,78,15,12,OFF,2026-05-19 00:17:53
p1,54.78,34.67,5.46,74,57,36,OFF,2026-05-19 00:18:03
p2,49.06,36.73,5.51,14,7,67,OFF,2026-05-19 00:18:05
p2,71.48,19.97,7.81,3,87,86,OFF,2026-05-19 00:18:05
p3,46.27,39.4,6.59,6,74,64,ON,2026-05-19 00:18:05
p2,60.25,31.03,4.48,47,80,61,OFF,2026-05-19 00:18:11
p3,80,16.46,5.67,32,51,0,ON,2026-05-19 00:18:13
p1,68.05,22.04,5.5,14,46,53,OFF,2026-05-19 00:18:14
p3,77.58,20.62,5.73,72,76,68,OFF,2026-05-19 00:18:15
p1,80,15.69,4.56,82,90,65,OFF,2026-05-19 00:18:15
p2,80,18.26,6.61,86,82,75,OFF,2026-05-19 00:18:15
p3,76.32,16.15,4.36,53,94,7,OFF,2026-05-19 00:18:15
p1,71.23,21.36,5.98,58,10,54,OFF,2026-05-19 00:18:22
p3,68.36,25.59,4.66,29,78,38,OFF,2026-05-19 00:18:22
p1,74.15,17.64,4,4,49,37,OFF,2026-05-19 00:18:23
p1,65.3,21.91,7.09,60,60,75,OFF,2026-05-19 00:18:23
p3,64.9,19.01,4.22,22,17,89,OFF,2026-05-19 00:18:31
p3,71.46,18.98,7.37,76,70,60,OFF,2026-05-19 00:18:32
p3,65.45,30.76,6.87,33,60,57,OFF,2026-05-19 00:18:35
p2,80,15.53,6.8,42,97,16,OFF,2026-05-19 00:18:41
p1,78.06,18.48,4,67,80,28,OFF,2026-05-19 00:18:48
p3,59.3,23.35,5.07,85,6,71,OFF,2026-05-19 00:18:48
p1,47.29,39.68,4,57,19,77,OFF,2026-05-19 00:18:51
p3,72.84,24.88,7.83,50,41,61,OFF,2026-05-19 00:18:51
p2,63.51,34.7,5.45,77,98,52,OFF,2026-05-19 00:18:53
p3,69.9,20.01,4.75,14,23,81,OFF,2026-05-19 00:18:56
p3,65.53,19.3,4.49,71,59,98,ON,2026-05-19 00:18:59
p2,68.33,18.68,7.75,11,42,70,OFF,2026-05-19 00:19:04
p3,61.75,31.21,4,38,90,23,OFF,2026-05-19 00:19:05
p1,61.3,35.26,5.53,23,53,12,OFF,2026-05-19 00:19:05
p3,61.09,35.13,5.95,85,48,57,OFF,2026-05-19 00:19:08
p3,63.09,30.79,4,15,80,7,OFF,2026-05-19 00:19:09
p3,72.07,22.91,5.16,7,69,50,OFF,2026-05-19 00:19:16
p3,60.76,31.22,4,70,41,25,OFF,2026-05-19 00:19:16
p2,64.89,29.22,4.2,4,97,19,OFF,2026-05-19 00:19:21
p2,74.34,18.25,5.7,10,86,7,OFF,2026-05-19 00:19:26
p1,75.71,16.22,8.86,3,18,0,OFF,2026-05-19 00:19:28
p1,59.1,29.46,4,53,12,19,OFF,2026-05-19 00:19:36
p3,80,19.44,5.32,73,90,87,OFF,2026-05-19 00:19:37
p1,69.32,25.12,6.03,43,50,41,OFF,2026-05-19 00:19:39
p1,65.9,33.36,4,22,42,58,OFF,2026-05-19 00:19:42
p2,58.96,28,4.64,8,29,5,OFF,2026-05-19 00:19:43
p3,76,19.35,4.08,33,9,72,OFF,2026-05-19 00:19:48
p3,51.5,35.25,5.38,51,92,43,ON,2026-05-19 00:19:48
p3,58.87,37.85,4,57,81,85,ON,2026-05-19 00:19:54
p2,67.18,30.38,4.62,88,98,55,OFF,2026-05-19 00:19:56
p3,74.1,24.44,4,51,31,2,OFF,2026-05-19 00:20:01
p3,57.74,37.07,4.57,58,42,48,OFF,2026-05-19 00:20:02
p3,80,16.13,6.55,91,88,48,OFF,2026-05-19 00:20:07
p3,76.79,25.62,5.85,12,54,95,OFF,2026-05-19 00:20:07
p1,70.85,19.26,4.68,42,1,35,OFF,2026-05-19 00:20:09
p3,53.73,39.32,4,71,98,31,ON,2026-05-19 00:20:11
p3,54.62,34.32,4.67,76,86,21,OFF,2026-05-19 00:20:13
p2,68.54,26.92,4,71,83,86,OFF,2026-05-19 00:20:15
p3,61.99,25.88,6.87,19,63,17,ON,2026-05-19 00:20:16
p1,69.63,23.26,4.56,74,67,38,OFF,2026-05-19 00:20:16
p1,56.1,30.44,5.47,0,6,97,ON,2026-05-19 00:20:22
p3,75.53,16.89,5.09,0,99,11,OFF,2026-05-19 00:20:22
p1,58.96,38.66,4.92,0,21,99,OFF,2026-05-19 00:20:25
p2,52.03,28.3,8.08,16,64,67,ON,2026-05-19 00:20:30
p3,47.13,34.52,4.95,30,70,98,ON,2026-05-19 00:20:37
p3,56.59,32.59,7.48,60,2,80,OFF,2026-05-19 00:20:41
p2,68.66,23.34,7.28,82,52,16,OFF,2026-05-19 00:20:42
p1,56.71,34.51,6.68,73,70,72,OFF,2026-05-19 00:20:43
p1,51.22,33.15,6.18,90,15,26,OFF,2026-05-19 00:20:47
p1,64.09,32.37,6.73,63,45,85,OFF,2026-05-19 00:20:47
p3,73.31,18.63,4.97,35,39,82,OFF,2026-05-19 00:20:48
p1,51.09,33.29,5,37,19,94,OFF,2026-05-19 00:20:48
p1,74.95,21.93,7.03,29,64,4,OFF,2026-05-19 00:20:49
p1,76.78,17.01,6.72,6,68,69,OFF,2026-05-19 00:20:49
p2,63.08,18.98,4,71,64,14,OFF,2026-05-19 00:20:52
p3,79.51,19.86,5.12,82,5,98,OFF,2026-05-19 00:20:53
p1,56.41,30.14,6.66,35,17,79,OFF,2026-05-19 00:20:59
p1,67.64,26.22,7.5,49,17,83,OFF,2026-05-19 00:21:03
p1,51.45,35.32,7.26,67,54,77,OFF,2026-05-19 00:21:06
p3,75.78,17.46,4,76,60,30,OFF,2026-05-19 00:21:08
p3,80,18.7,4.33,0,25,14,OFF,2026-05-19 00:21:09
p1,49.23,39.92,4.73,80,15,82,OFF,2026-05-19 00:21:09
p3,47.25,29.05,5.86,84,93,9,ON,2026-05-19 00:21:11
p1,57.81,36.01,7.7,10,30,20,OFF,2026-05-19 00:21:15
p3,60.03,34.64,4,11,46,83,OFF,2026-05-19 00:21:15
p2,61.26,32.06,4,88,1,8,OFF,2026-05-19 00:21:16
p3,58.62,31.93,4.84,2,98,23,ON,2026-05-19 00:21:18
p3,75.77,15.86,7.03,76,73,95,OFF,2026-05-19 00:21:18
p2,49.17,37.1,4,95,34,53,ON,2026-05-19 00:21:19
p2,53.33,33.56,7.09,54,48,89,OFF,2026-05-19 00:21:22
p3,75.59,23.59,7.62,53,11,62,OFF,2026-05-19 00:21:26
p3,75.96,24.34,4,51,3,64,OFF,2026-05-19 00:21:29
p3,80,18.05,4.04,44,98,7,OFF,2026-05-19 00:21:35
p1,79.27,17.6,7.72,39,18,98,OFF,2026-05-19 00:21:36
p1,71.92,24.06,4,60,42,35,OFF,2026-05-19 00:21:38
p1,64,29.7,7.01,44,62,4,OFF,2026-05-19 00:21:40
p1,78.8,15.76,4,99,6,74,OFF,2026-05-19 00:21:41
p1,69.73,19.85,7.83,25,84,43,OFF,2026-05-19 00:21:43
p3,58.62,35.13,4.97,53,69,3,ON,2026-05-19 00:21:47
p3,80,15.74,6.6,46,89,58,OFF,2026-05-19 00:21:47
p1,62.37,27.31,7.77,58,22,22,OFF,2026-05-19 00:21:50
p3,77.16,17.64,6.27,27,47,81,OFF,2026-05-19 00:21:55
p3,70.16,30.26,4,82,67,74,OFF,2026-05-19 00:21:57
p2,77.77,18.36,6.14,79,54,73,OFF,2026-05-19 00:22:02
p2,79.77,18.73,4,100,44,70,OFF,2026-05-19 00:22:03
p1,78.1,21.77,4.53,3,69,41,OFF,2026-05-19 00:22:03
p3,80,25.82,6.18,20,45,5,OFF,2026-05-19 00:22:05
p1,50.56,32.05,5.4,21,41,52,OFF,2026-05-19 00:22:06
p1,80,15.3,4.67,85,54,91,ON,2026-05-19 00:22:09
p1,59.24,24.58,4,8,59,77,OFF,2026-05-19 00:22:10
p3,61.4,30.63,4,74,53,42,OFF,2026-05-19 00:22:15
p1,68.56,27.35,4,67,80,9,OFF,2026-05-19 00:22:18
p2,67.03,23.62,6.85,67,89,70,OFF,2026-05-19 00:22:20
p3,49.63,30.08,8,3,33,82,OFF,2026-05-19 00:22:20
p1,54.06,31.74,5.01,34,44,87,OFF,2026-05-19 00:22:24
p1,64.37,25.57,6.45,9,50,17,OFF,2026-05-19 00:22:26
p1,69.11,24.17,6.4,30,79,78,OFF,2026-05-19 00:22:29
p1,60.93,34.08,6.77,47,38,46,ON,2026-05-19 00:22:31
p2,79.64,18.39,4,16,9,58,OFF,2026-05-19 00:22:32
p1,78.08,17.06,4.75,42,9,75,OFF,2026-05-19 00:22:33
p1,62.64,32.41,4.76,9,90,32,ON,2026-05-19 00:22:34
p3,78.86,15.82,4,11,19,65,OFF,2026-05-19 00:22:35
p3,56.52,32.76,5.09,6,60,4,OFF,2026-05-19 00:22:36
p1,68.38,28.68,4.74,39,3,14,OFF,2026-05-19 00:22:43
p2,77.51,15.72,4,65,90,28,OFF,2026-05-19 00:22:51
p2,58.29,31.88,5.05,10,69,48,OFF,2026-05-19 00:22:52
p3,65.3,27.35,4.45,80,80,25,OFF,2026-05-19 00:22:53
p1,74.7,20.79,6.68,92,41,44,OFF,2026-05-19 00:22:53
p1,67.48,29.23,4.17,90,10,34,ON,2026-05-19 00:22:55
p1,57.89,37.14,5.61,19,17,43,OFF,2026-05-19 00:22:56
p1,67.66,32.57,7.09,63,27,91,OFF,2026-05-19 00:23:00
p1,57.14,29.82,4.94,31,90,80,ON,2026-05-19 00:23:06
p3,68.04,22.28,4,69,40,16,OFF,2026-05-19 00:23:09
p3,77.45,17.66,4,90,68,82,OFF,2026-05-19 00:23:11
p2,69.75,30.33,6.26,15,98,95,OFF,2026-05-19 00:23:13
p3,80,17.69,5.55,60,90,40,OFF,2026-05-19 00:23:14
p3,73.3,22.12,7.94,9,23,81,OFF,2026-05-19 00:23:16
p3,74.71,19.44,5.35,65,4,43,OFF,2026-05-19 00:23:21
p1,80,16.34,7.15,70,26,97,OFF,2026-05-19 00:23:24
p2,58.49,38.11,4.46,80,78,43,OFF,2026-05-19 00:23:27
p3,66.7,26.93,7.95,34,90,29,OFF,2026-05-19 00:23:30
p3,72.54,19.81,4.33,32,94,91,OFF,2026-05-19 00:23:32
p3,71.64,24.39,4.14,32,59,67,OFF,2026-05-19 00:23:34
p2,55.53,32.78,4.95,59,38,57,OFF,2026-05-19 00:23:37
p1,62.58,31.51,5.17,73,21,72,ON,2026-05-19 00:23:38
p2,69.57,24.23,4,79,12,47,OFF,2026-05-19 00:23:39
p2,62.47,25.14,7.26,67,69,64,OFF,2026-05-19 00:23:42
p1,51.59,35.15,6.25,87,57,14,OFF,2026-05-19 00:23:48
p3,71.72,23.76,6.05,17,28,36,OFF,2026-05-19 00:23:51
p2,59.53,28,6.44,8,70,63,ON,2026-05-19 00:23:52
p2,67.66,26.74,4,93,59,84,OFF,2026-05-19 00:23:53
p1,80,15.7,4.32,70,14,7,OFF,2026-05-19 00:23:55
p1,74.75,23.44,4,48,62,97,OFF,2026-05-19 00:24:02
p1,75.22,18.32,8.01,12,4,30,OFF,2026-05-19 00:24:02
p1,75.62,23.32,5.63,12,27,44,ON,2026-05-19 00:24:03
